date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:36:10	18306/18306	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:06:08%20GMT	https://inclusiveminds.in/	E:/downloads/inclusiveminds/inclusiveminds.in/index.html	(from )
07:36:10	7352/7352	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202026%2002:06:09%20GMT	https://inclusiveminds.in/robots.txt		(from )
07:36:10	10378/10378	---M--	200	added ('OK')	image/png	etag:%2214034c8-288a-61cff37670300%22	https://inclusiveminds.in/apple-touch-icon.png	E:/downloads/inclusiveminds/inclusiveminds.in/apple-touch-icon.png	(from https://inclusiveminds.in/)
07:36:10	1119/1119	---M--	200	added ('OK')	image/png	etag:%2214034d1-45f-61cff37670300%22	https://inclusiveminds.in/favicon-32x32.png	E:/downloads/inclusiveminds/inclusiveminds.in/favicon-32x32.png	(from https://inclusiveminds.in/)
07:36:11	545/545	---M--	200	added ('OK')	image/png	etag:%2214034d0-221-61cff37670300%22	https://inclusiveminds.in/favicon-16x16.png	E:/downloads/inclusiveminds/inclusiveminds.in/favicon-16x16.png	(from https://inclusiveminds.in/)
07:36:11	261/261	---M--	200	added ('OK')	text/html	etag:%221403526-105-61cff6b60ad00%22	https://inclusiveminds.in/site.webmanifest	E:/downloads/inclusiveminds/inclusiveminds.in/site.html	(from https://inclusiveminds.in/)
07:36:23	220780/220780	---M-Z	200	added ('OK')	text/css	etag:W/%2235e6c-cZlWqlLbTIr9xcDPs8verWJYuKY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	E:/downloads/inclusiveminds/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	(from https://inclusiveminds.in/)
07:36:31	6493/6493	---M-Z	200	added ('OK')	text/css	etag:%2214034ca-195d-62c4648254980-gzip%22	https://inclusiveminds.in/css/style.css?v=1.0.12	E:/downloads/inclusiveminds/inclusiveminds.in/css/style6421.css	(from https://inclusiveminds.in/)
07:36:34	184912/184912	---M--	200	added ('OK')	image/jpeg	etag:%221403530-2d250-62c4fe9464900%22	https://inclusiveminds.in//images/inclusive_minds_1200x675.jpg	E:/downloads/inclusiveminds/inclusiveminds.in/images/inclusive_minds_1200x675.jpg	(from https://inclusiveminds.in/)
07:36:34	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%226760ad4c-51a1%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	E:/downloads/inclusiveminds/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	(from https://inclusiveminds.in/)
07:36:34	1608/1608	---M--	200	added ('OK')	image/svg+xml	etag:%2214034d7-648-61cf23d842e00%22	https://inclusiveminds.in/images/logo.svg	E:/downloads/inclusiveminds/inclusiveminds.in/images/logo.svg	(from https://inclusiveminds.in/)
07:36:35	18437/18437	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:06:34%20GMT	https://inclusiveminds.in/nehru-fellowship.php	E:/downloads/inclusiveminds/inclusiveminds.in/nehru-fellowship.html	(from https://inclusiveminds.in/)
07:36:37	31505/31505	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:06:35%20GMT	https://inclusiveminds.in/nf_2023.php	E:/downloads/inclusiveminds/inclusiveminds.in/nf_2023.html	(from https://inclusiveminds.in/)
07:36:39	181864/181864	---M--	200	added ('OK')	image/jpeg	etag:%22140352c-2c668-62c4fec043080%22	https://inclusiveminds.in//images/inclusive_minds_1200x627.jpg	E:/downloads/inclusiveminds/inclusiveminds.in/images/inclusive_minds_1200x627.jpg	(from https://inclusiveminds.in/)
07:36:40	23146/23146	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:06:39%20GMT	https://inclusiveminds.in/nf_2024.php	E:/downloads/inclusiveminds/inclusiveminds.in/nf_2024.html	(from https://inclusiveminds.in/)
07:36:42	29234/29234	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:06:40%20GMT	https://inclusiveminds.in/nf_2025.php	E:/downloads/inclusiveminds/inclusiveminds.in/nf_2025.html	(from https://inclusiveminds.in/)
07:37:01	24288/24288	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:06:52%20GMT	https://inclusiveminds.in/wise.php	E:/downloads/inclusiveminds/inclusiveminds.in/wise.html	(from https://inclusiveminds.in/)
07:37:03	30128/30128	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:07:01%20GMT	https://inclusiveminds.in/wise_2025.php	E:/downloads/inclusiveminds/inclusiveminds.in/wise_2025.html	(from https://inclusiveminds.in/)
07:37:06	18625/18625	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2002:07:05%20GMT	https://inclusiveminds.in/wise_2026.php	E:/downloads/inclusiveminds/inclusiveminds.in/wise_2026.html	(from https://inclusiveminds.in/)
07:37:50	80599/80599	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213ad7-v/eN2cAqUAirQ2QpSHOc5Yx2GyE%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	E:/downloads/inclusiveminds/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	(from https://inclusiveminds.in/)
07:37:58	157473/157473	---M--	200	added ('OK')	image/jpeg	etag:%2214034d4-26721-62c4f4ca23000%22	https://inclusiveminds.in/images/background.jpg	E:/downloads/inclusiveminds/inclusiveminds.in/images/background.jpg	(from https://inclusiveminds.in/css/style.css?v=1.0.12)
07:37:59	6493/6493	---M-Z	200	added ('OK')	text/css	etag:%2214034ca-195d-62c4648254980-gzip%22	https://inclusiveminds.in/css/style.css?v=1.0.10	E:/downloads/inclusiveminds/inclusiveminds.in/css/style008c.css	(from https://inclusiveminds.in/nehru-fellowship.php)
07:38:12	41237/41237	---M--	200	added ('OK')	image/svg+xml	etag:%22140352b-a115-62c4eb780b280%22	https://inclusiveminds.in/images/nehru-caricature.svg	E:/downloads/inclusiveminds/inclusiveminds.in/images/nehru-caricature.svg	(from https://inclusiveminds.in/nehru-fellowship.php)
07:38:13	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2010%20Mar%202026%2002:08:09%20GMT	https://inclusiveminds.in/nf/	E:/downloads/inclusiveminds/inclusiveminds.in/nf/index.html	(from https://inclusiveminds.in/nehru-fellowship.php)
07:38:22	7352/7352	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202026%2002:08:20%20GMT	https://inclusiveminds.in/images/og-image.jpg	E:/downloads/inclusiveminds/inclusiveminds.in/images/og-image.17.delayed	(from https://inclusiveminds.in/nf_2023.php)
